agegroup,gender,education,country,ethnicity,neuroticism,extraversion,opentoexperience,agreeableness,conscientiousness,impulsiveness,sensation,caffeine,chocolate,nicotine,alcohol,amphetamine,amylnitrite,benzodiaz,cannabis,cocaine,crack,ecstasy,heroin,ketamine,legalhighs,LSD,methadone,mushrooms,volatiles,any,severity,UseLevel
25-34,male,-0.61113,UK,White,-0.58016,0.96248,0.44585,-0.30172,-0.14277,0.19268,0.7654,6.0,6.0,3.0,6.0,0.0,3.0,5.0,6.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TRUE,27.0,high
25-34,female,-1.7379,UK,White,-1.86962,0.96248,-0.97631,2.23427,2.33337,-1.37983,-0.84637,6.0,5.0,6.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,12.0,low
25-34,female,-0.05921,UK,White,0.22393,-0.30033,-1.27553,1.11406,-0.52745,-1.37983,-2.07848,6.0,6.0,6.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,9.0,low
45-54,female,0.45468,UK,White,1.37297,-0.69509,0.29338,1.45039,0.12331,-1.37983,-0.52593,6.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
45-54,male,-0.61113,USA,White,-0.24649,0.00332,0.29338,0.28783,-0.27607,0.88113,1.2247,6.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,TRUE,25.0,high
18-24,female,0.45468,UK,White,-0.24649,0.00332,1.06238,0.59042,2.04506,-0.71126,-0.52593,6.0,6.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,3.0,low
18-24,male,0.45468,UK,White,0.73545,-0.43999,0.58331,0.59042,-0.14277,0.19268,0.40148,6.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,0.0,4.0,0.0,5.0,5.0,0.0,5.0,3.0,0.0,TRUE,48.0,high
35-44,male,0.45468,UK,White,-0.05188,-0.43999,-0.84732,-0.45321,0.41594,-0.21712,-0.21575,6.0,5.0,2.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,9.0,low
18-24,female,1.16365,UK,Asian,-0.58016,0.16767,-0.84732,0.59042,0.7583,-0.21712,-0.21575,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
25-34,female,-0.05921,Australia,White,-1.55078,0.96248,1.88511,1.45039,0.25953,1.29221,1.92173,6.0,5.0,3.0,4.0,1.0,0.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,TRUE,28.0,high
18-24,male,-0.61113,USA,White,-0.34799,-0.69509,-0.58331,0.28783,-1.13788,-0.21712,-0.52593,5.0,6.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,5.0,0.0,2.0,2.0,TRUE,31.0,high
45-54,female,-0.61113,UK,Asian,0.73545,-0.30033,-1.27553,0.76096,-0.89891,-1.37983,-1.54858,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,6.0,low
18-24,male,-0.61113,UK,White,-0.92104,1.74091,1.43533,1.2861,-0.27607,0.19268,0.40148,6.0,5.0,6.0,6.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,TRUE,45.0,high
45-54,female,-0.05921,UK,White,0.52135,-0.57545,-0.45174,-0.45321,0.7583,0.19268,-1.18084,6.0,6.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,9.0,low
45-54,male,-1.7379,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,6.0,6.0,6.0,6.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,TRUE,21.0,high
35-44,female,1.16365,UK,White,0.13606,-0.15487,-0.45174,0.76096,-0.27607,0.88113,1.2247,6.0,2.0,6.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,TRUE,12.0,low
18-24,male,1.16365,Other,White,-0.79151,-0.30033,-0.31776,-0.91699,-0.14277,0.52975,0.7654,4.0,5.0,6.0,5.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,TRUE,34.0,high
35-44,female,1.98437,UK,White,0.04257,0.00332,-1.27553,-0.01729,0.25953,-1.37983,-0.21575,6.0,4.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TRUE,4.0,low
18-24,male,1.16365,USA,Other,-0.79151,0.47617,1.43533,1.11406,0.12331,1.29221,0.40148,6.0,6.0,4.0,4.0,3.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,TRUE,22.0,high
55-64,female,1.16365,UK,White,0.82562,-0.69509,-0.45174,-0.01729,-0.14277,1.86203,0.40148,6.0,4.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,6.0,low
35-44,female,0.45468,UK,White,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593,6.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
45-54,male,0.45468,UK,White,-0.34799,-1.7625,0.7233,-0.91699,0.12331,-0.21712,-0.52593,6.0,5.0,0.0,6.0,1.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,TRUE,14.0,high
35-44,male,0.45468,UK,White,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,1.86203,0.7654,6.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,3.0,low
45-54,male,-1.22751,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,6.0,5.0,6.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,TRUE,34.0,high
18-24,male,-0.61113,USA,White,-0.14882,1.74091,1.06238,0.28783,-1.0145,0.88113,0.7654,6.0,6.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,3.0,4.0,6.0,3.0,5.0,2.0,TRUE,43.0,high
35-44,female,0.45468,UK,Black,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,male,-0.05921,UK,White,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,6.0,5.0,6.0,5.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TRUE,23.0,high
25-34,female,0.45468,UK,White,0.04257,-0.43999,-0.01928,0.94156,-1.38502,-0.71126,0.07987,5.0,6.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
35-44,male,-0.05921,UK,White,0.22393,-0.15487,-0.01928,0.28783,-0.27607,-0.71126,0.40148,6.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,TRUE,20.0,high
25-34,male,-0.61113,UK,White,-0.79151,0.96248,0.14143,-1.07533,-0.65253,1.29221,1.92173,5.0,4.0,2.0,5.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,TRUE,20.0,high
45-54,female,-1.22751,Australia,White,-0.58016,0.63779,-0.31776,0.43852,0.93949,-0.71126,-0.52593,5.0,5.0,6.0,1.0,6.0,2.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,TRUE,38.0,high
25-34,female,1.16365,USA,White,0.73545,2.127,1.24033,-0.76096,1.46191,0.88113,1.92173,6.0,5.0,6.0,6.0,2.0,0.0,5.0,6.0,4.0,0.0,4.0,0.0,3.0,2.0,4.0,0.0,5.0,5.0,TRUE,46.0,high
18-24,female,-0.61113,USA,White,1.98437,-1.92173,1.24033,1.45039,-1.13788,-0.21712,1.2247,6.0,4.0,6.0,6.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TRUE,21.0,high
35-44,female,0.45468,UK,White,-0.14882,0.47617,0.88309,-1.07533,-1.0145,0.19268,0.40148,6.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,3.0,low
25-34,female,-1.43719,USA,White,2.28554,-2.5383,-0.58331,-2.21844,-3.15735,1.86203,1.2247,6.0,6.0,6.0,5.0,4.0,0.0,5.0,6.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,TRUE,34.0,high
45-54,female,1.16365,UK,White,-1.69163,0.80523,1.24033,0.59042,-0.00665,-0.21712,-1.54858,6.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
45-54,male,1.16365,UK,White,-0.92104,-0.30033,-1.11902,0.59042,1.63088,-0.21712,-0.52593,6.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,female,0.45468,UK,White,-0.05188,0.16767,0.44585,-1.34289,0.41594,0.52975,0.7654,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
55-64,female,1.16365,UK,White,0.31287,0.47617,1.06238,-0.30172,-0.78155,0.52975,0.7654,6.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,male,-0.61113,RepublicofIreland,White,-0.46725,2.127,1.65653,1.11406,0.41594,0.88113,1.2247,6.0,6.0,6.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,TRUE,32.0,high
25-34,female,1.16365,USA,White,-1.1943,0.00332,0.7233,0.43852,-0.27607,0.19268,0.40148,6.0,6.0,5.0,5.0,1.0,0.0,3.0,6.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,TRUE,31.0,high
18-24,male,-0.61113,Other,White,-1.1943,0.47617,1.06238,-1.34289,0.41594,-0.21712,1.2247,4.0,6.0,6.0,6.0,4.0,0.0,2.0,6.0,3.0,0.0,4.0,0.0,3.0,4.0,4.0,3.0,4.0,3.0,TRUE,46.0,high
18-24,female,-0.61113,Canada,White,1.60383,0.96248,1.43533,-0.30172,-0.89891,0.88113,1.2247,6.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
45-54,female,1.16365,UK,Black,0.62967,0.16767,-0.17779,-0.01729,1.30612,-0.21712,-0.84637,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,5.0,low
18-24,male,-0.61113,USA,White,-0.05188,0.16767,1.65653,0.94156,-0.00665,0.19268,0.40148,4.0,5.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,TRUE,16.0,high
18-24,male,-1.22751,Canada,White,1.8399,-2.21069,-1.11902,-0.45321,-3.46436,-0.21712,-1.18084,6.0,2.0,5.0,5.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0,TRUE,27.0,high
35-44,female,-0.05921,UK,White,0.52135,-1.37639,-1.42424,0.13136,-1.13788,-1.37983,-1.18084,5.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
25-34,male,-1.7379,Other,White,-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,6.0,5.0,6.0,4.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,TRUE,19.0,high
18-24,female,-0.61113,USA,White,0.73545,-0.30033,-0.71727,0.43852,-0.89891,-0.21712,-0.21575,6.0,4.0,6.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,TRUE,16.0,high
25-34,male,-0.61113,USA,White,0.31287,-2.5383,-0.84732,-1.6209,-2.57309,0.88113,0.07987,6.0,5.0,3.0,6.0,4.0,0.0,3.0,6.0,2.0,2.0,2.0,2.0,5.0,6.0,3.0,5.0,4.0,0.0,TRUE,47.0,high
45-54,male,-1.43719,UK,White,0.91093,-1.09207,-1.68062,0.28783,-0.78155,-0.71126,0.07987,6.0,5.0,1.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,10.0,low
55-64,female,-2.43591,UK,White,-1.05308,0.00332,-0.01928,1.61108,1.13407,-0.71126,-1.54858,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
35-44,male,1.16365,UK,White,-1.1943,-0.30033,0.14143,0.43852,0.58489,-1.37983,-0.84637,6.0,6.0,2.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,7.0,low
18-24,male,0.45468,USA,White,0.62967,1.45421,0.58331,0.13136,0.93949,0.19268,1.92173,6.0,3.0,6.0,6.0,5.0,0.0,4.0,5.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,TRUE,35.0,high
18-24,male,0.45468,Australia,White,-1.69163,-0.80615,-0.58331,-1.21213,-1.25773,0.19268,0.7654,6.0,4.0,0.0,3.0,4.0,6.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,3.0,4.0,TRUE,36.0,high
45-54,female,-0.61113,USA,White,1.37297,-0.15487,0.44585,0.43852,-0.65253,1.86203,-0.52593,6.0,6.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,10.0,low
25-34,male,0.45468,Canada,White,-0.92104,-0.30033,-0.17779,-1.92595,-0.27607,0.52975,-1.54858,3.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,TRUE,12.0,low
35-44,male,-0.61113,UK,White,-0.79151,0.47617,-0.01928,0.13136,0.12331,-0.21712,0.07987,6.0,5.0,2.0,5.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,TRUE,23.0,high
18-24,male,-0.61113,USA,White,0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,6.0,5.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,TRUE,21.0,high
45-54,female,0.45468,UK,White,-0.46725,0.47617,-0.71727,1.45039,1.46191,-0.21712,-0.84637,6.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
45-54,male,0.45468,UK,White,-0.46725,0.16767,-0.31776,-0.45321,1.46191,0.19268,-0.84637,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
55-64,male,0.45468,UK,White,-0.46725,-0.80615,0.14143,0.28783,0.93949,-1.37983,-1.18084,6.0,6.0,6.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,TRUE,13.0,low
18-24,female,-0.61113,USA,White,0.91093,-1.92173,0.29338,-1.6209,-2.57309,1.29221,1.2247,6.0,5.0,4.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,TRUE,22.0,high
35-44,female,-0.61113,UK,White,-1.1943,0.00332,-1.11902,-0.01729,-1.92173,1.86203,-0.21575,6.0,6.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TRUE,12.0,low
18-24,male,-0.05921,UK,White,0.22393,0.00332,-1.68062,-0.15487,0.25953,0.88113,0.7654,6.0,6.0,6.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,TRUE,18.0,high
45-54,male,-1.7379,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,6.0,6.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,TRUE,13.0,low
35-44,female,-0.05921,Australia,White,0.22393,1.11406,-1.11902,-1.772,-0.40581,0.52975,0.7654,6.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
35-44,male,-1.7379,UK,White,-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,6.0,5.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TRUE,13.0,low
25-34,male,0.45468,Other,White,0.04257,0.63779,1.06238,-0.45321,0.7583,0.19268,1.2247,6.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,3.0,3.0,2.0,3.0,6.0,4.0,4.0,5.0,1.0,TRUE,62.0,high
45-54,male,-2.43591,USA,White,0.73545,-0.43999,0.44585,-1.07533,0.25953,0.52975,0.40148,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,TRUE,35.0,high
25-34,female,-1.22751,Other,White,1.37297,-0.15487,0.44585,-1.34289,-1.25773,0.88113,1.92173,6.0,6.0,2.0,4.0,1.0,0.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,TRUE,25.0,high
25-34,male,-0.61113,Other,White,0.13606,-0.43999,-1.82919,-2.35413,-0.14277,0.52975,0.7654,4.0,5.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,TRUE,20.0,high
18-24,female,-0.61113,Other,White,-1.69163,0.47617,0.88309,-0.30172,-1.78169,0.19268,0.40148,6.0,5.0,6.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,TRUE,23.0,high
25-34,male,0.45468,UK,White,-0.67825,0.96248,-0.71727,2.03972,1.13407,0.52975,-0.52593,6.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
25-34,female,0.45468,UK,White,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,6.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
18-24,female,1.16365,UK,White,-0.24649,0.47617,0.88309,-0.15487,1.81175,0.52975,0.40148,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,female,-1.7379,UK,White,2.82196,-2.44904,1.06238,-0.76096,-2.18109,-0.21712,-0.84637,6.0,5.0,4.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TRUE,15.0,high
18-24,female,-0.61113,USA,White,-0.58016,0.32197,0.58331,1.11406,0.25953,-0.71126,-0.52593,6.0,5.0,4.0,4.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,TRUE,20.0,high
35-44,male,0.45468,Canada,White,-0.58016,-0.69509,-2.39883,-0.30172,-0.27607,-2.55524,-1.18084,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TRUE,1.0,low
25-34,female,1.16365,UK,White,-0.14882,-0.57545,-0.45174,0.43852,0.25953,-1.37983,-1.54858,6.0,5.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,9.0,low
25-34,female,0.45468,USA,White,0.41667,-0.30033,1.43533,-0.30172,1.46191,-0.21712,0.40148,5.0,5.0,5.0,5.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,TRUE,23.0,high
18-24,male,-0.05921,UK,White,-1.1943,0.63779,-0.01928,0.28783,-0.52745,-0.21712,-0.52593,6.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,9.0,low
18-24,female,0.45468,USA,Mixed-White/Asian,-0.46725,0.00332,-0.31776,0.13136,-0.52745,1.29221,1.2247,6.0,5.0,6.0,6.0,4.0,0.0,3.0,6.0,4.0,0.0,4.0,0.0,3.0,3.0,3.0,0.0,5.0,2.0,TRUE,43.0,high
45-54,female,-0.05921,UK,White,0.13606,-0.15487,-0.84732,0.28783,0.58489,0.52975,-0.52593,6.0,6.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TRUE,5.0,low
25-34,female,-1.22751,UK,White,-0.14882,-0.15487,-1.97495,0.59042,0.7583,-0.71126,-0.84637,6.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
45-54,male,-1.22751,UK,White,-2.21844,1.11406,-0.31776,0.59042,-0.40581,0.19268,-0.52593,6.0,5.0,1.0,5.0,3.0,1.0,0.0,6.0,2.0,0.0,4.0,1.0,2.0,6.0,3.0,0.0,5.0,1.0,TRUE,35.0,high
18-24,male,-1.22751,UK,White,-0.58016,-0.69509,1.65653,1.81866,-1.13788,-0.21712,-0.52593,5.0,4.0,6.0,5.0,2.0,3.0,3.0,5.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,TRUE,29.0,high
18-24,female,-0.61113,USA,Asian,0.41667,-1.23177,-0.45174,0.94156,-0.14277,0.88113,1.2247,6.0,4.0,5.0,5.0,3.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,2.0,5.0,0.0,4.0,4.0,TRUE,34.0,high
18-24,male,-0.61113,USA,White,-1.43907,1.58487,1.65653,0.76096,2.63199,-0.71126,-1.18084,6.0,5.0,6.0,5.0,4.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,TRUE,46.0,high
45-54,female,-1.7379,USA,White,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,6.0,6.0,6.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,TRUE,27.0,high
25-34,female,-0.61113,UK,White,0.73545,0.16767,-1.42424,-0.01729,-1.25773,1.86203,0.7654,6.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
25-34,female,0.45468,UK,White,-0.14882,-0.15487,-0.97631,0.13136,0.41594,-0.71126,-0.52593,5.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
18-24,male,0.45468,USA,White,0.04257,-1.09207,0.14143,-1.34289,-0.00665,-0.21712,-0.84637,6.0,5.0,3.0,5.0,5.0,0.0,2.0,6.0,2.0,0.0,5.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,TRUE,38.0,high
25-34,female,0.45468,USA,White,1.13281,-1.37639,-1.27553,-1.772,-1.38502,0.52975,-0.52593,6.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,TRUE,42.0,high
25-34,female,0.45468,NewZealand,White,0.22393,0.00332,-0.17779,1.61108,0.93949,-1.37983,-0.21575,5.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TRUE,7.0,low
18-24,male,-2.43591,USA,White,2.28554,-0.69509,0.29338,-0.60633,-0.14277,-1.37983,-0.84637,4.0,5.0,3.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,TRUE,24.0,high
25-34,male,-0.05921,Other,White,0.41667,0.32197,0.14143,-0.01729,2.04506,-0.71126,-0.52593,6.0,6.0,3.0,5.0,2.0,2.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,TRUE,24.0,high
35-44,male,0.45468,USA,White,0.31287,0.16767,0.7233,-1.07533,0.41594,0.52975,1.2247,6.0,6.0,2.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,9.0,low
18-24,female,-0.61113,USA,White,-0.24649,0.47617,0.88309,-0.01729,1.13407,-0.21712,1.2247,5.0,5.0,2.0,6.0,5.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,TRUE,23.0,high
